country_isocode	taxonid	scientific_name	category
UZ	85181182	Barbastella leucomelas	LC
UZ	7915	Eptesicus bottae	LC
UZ	41531	Eptesicus gobiensis	LC
UZ	7911	Eptesicus serotinus	LC
UZ	136219	Myotis bucharensis	DD
UZ	14129	Myotis emarginatus	LC
UZ	136495	Myotis nipalensis	LC
UZ	85294528	Otonycteris hemprichii	LC
UZ	85295233	Otonycteris leucophaea	DD
UZ	85333758	Pipistrellus aladdin	DD
UZ	19526	Rhinolophus bocharicus	LC
UZ	19517	Rhinolophus ferrumequinum	LC
UZ	19518	Rhinolophus hipposideros	LC
UZ	21311	Tadarida teniotis	LC
UZ	22947	Vespertilio murinus	LC
QA	85294528	Otonycteris hemprichii	LC
SA	2153	Asellia patrizii	LC
SA	80221529	Asellia tridens	LC
SA	85181182	Barbastella leucomelas	LC
SA	67362271	Chaerephon pumilus	LC
SA	7084	Eidolon helvum	NT
SA	7915	Eptesicus bottae	LC
SA	10115	Hipposideros caffer	LC
SA	10150	Hipposideros megalotis	LC
SA	44862	Miniopterus natalensis	LC
SA	13841	Mops midas	LC
SA	14129	Myotis emarginatus	LC
SA	14936	Nycteris thebaica	LC
SA	41533	Nycticeinops schlieffeni	LC
SA	85294528	Otonycteris hemprichii	LC
SA	44852	Pipistrellus ariel	DD
SA	17314	Pipistrellus kuhlii	LC
SA	19531	Rhinolophus clivosus	LC
SA	19517	Rhinolophus ferrumequinum	LC
SA	19518	Rhinolophus hipposideros	LC
SA	82345555	Rhinopoma cystops	LC
SA	82345477	Rhinopoma hardwickii	LC
SA	19600	Rhinopoma microphyllum	LC
SA	7935	Rhyneptesicus nasutus	LC
SA	29730	Rousettus aegyptiacus	LC
SA	21312	Tadarida aegyptiaca	LC
SA	21311	Tadarida teniotis	LC
SA	21462	Taphozous nudiventris	LC
SA	21463	Taphozous perforatus	LC
AF	80221529	Asellia tridens	LC
AF	85181182	Barbastella leucomelas	LC
AF	7915	Eptesicus bottae	LC
AF	41531	Eptesicus gobiensis	LC
AF	7911	Eptesicus serotinus	LC
AF	10135	Hipposideros fulvus	LC
AF	44856	Hypsugo savii	LC
AF	12938	Megaderma lyra	LC
AF	81633057	Miniopterus schreibersii	NT
AF	14123	Myotis bechsteinii	NT
AF	14124	Myotis blythii	LC
AF	14129	Myotis emarginatus	LC
AF	14160	Myotis formosus	LC
AF	14175	Myotis longipes	DD
AF	136495	Myotis nipalensis	LC
AF	14919	Nyctalus leisleri	LC
AF	14923	Nyctalus montanus	LC
AF	85294528	Otonycteris hemprichii	LC
AF	85295233	Otonycteris leucophaea	DD
AF	85333758	Pipistrellus aladdin	DD
AF	17335	Pipistrellus coromandra	LC
AF	17314	Pipistrellus kuhlii	LC
AF	17317	Pipistrellus pipistrellus	LC
AF	17368	Pipistrellus tenuis	LC
AF	19515	Rhinolophus blasii	LC
AF	19526	Rhinolophus bocharicus	LC
AF	19517	Rhinolophus ferrumequinum	LC
AF	19518	Rhinolophus hipposideros	LC
AF	19547	Rhinolophus lepidus	LC
AF	19519	Rhinolophus mehelyi	VU
AF	82345477	Rhinopoma hardwickii	LC
AF	19602	Rhinopoma muscatellum	LC
AF	7935	Rhyneptesicus nasutus	LC
AF	20067	Scotophilus heathii	LC
AF	21312	Tadarida aegyptiaca	LC
AF	21311	Tadarida teniotis	LC
AF	21462	Taphozous nudiventris	LC
AF	22947	Vespertilio murinus	LC
LB	7915	Eptesicus bottae	LC
LB	7911	Eptesicus serotinus	LC
LB	44856	Hypsugo savii	LC
LB	81633057	Miniopterus schreibersii	NT
LB	14124	Myotis blythii	LC
LB	14126	Myotis capaccinii	VU
LB	14129	Myotis emarginatus	LC
LB	14133	Myotis myotis	LC
LB	14135	Myotis nattereri	LC
LB	14920	Nyctalus noctula	LC
LB	17314	Pipistrellus kuhlii	LC
LB	17317	Pipistrellus pipistrellus	LC
LB	136473	Plecotus kolombatovici	LC
LB	19516	Rhinolophus euryale	NT
LB	19517	Rhinolophus ferrumequinum	LC
LB	19518	Rhinolophus hipposideros	LC
LB	19600	Rhinopoma microphyllum	LC
LB	29730	Rousettus aegyptiacus	LC
LB	21311	Tadarida teniotis	LC
CY	7911	Eptesicus serotinus	LC
CY	44856	Hypsugo savii	LC
CY	81633057	Miniopterus schreibersii	NT
CY	14124	Myotis blythii	LC
CY	14126	Myotis capaccinii	VU
CY	14129	Myotis emarginatus	LC
CY	14133	Myotis myotis	LC
CY	14135	Myotis nattereri	LC
CY	14918	Nyctalus lasiopterus	VU
CY	14920	Nyctalus noctula	LC
CY	17314	Pipistrellus kuhlii	LC
CY	17317	Pipistrellus pipistrellus	LC
CY	136473	Plecotus kolombatovici	LC
CY	19515	Rhinolophus blasii	LC
CY	19517	Rhinolophus ferrumequinum	LC
CY	19518	Rhinolophus hipposideros	LC
CY	19519	Rhinolophus mehelyi	VU
CY	29730	Rousettus aegyptiacus	LC
CY	21311	Tadarida teniotis	LC
SY	80221529	Asellia tridens	LC
SY	7915	Eptesicus bottae	LC
SY	41531	Eptesicus gobiensis	LC
SY	7911	Eptesicus serotinus	LC
SY	44856	Hypsugo savii	LC
SY	81633057	Miniopterus schreibersii	NT
SY	136553	Myotis aurascens	LC
SY	14124	Myotis blythii	LC
SY	14126	Myotis capaccinii	VU
SY	14129	Myotis emarginatus	LC
SY	14133	Myotis myotis	LC
SY	14135	Myotis nattereri	LC
SY	85294528	Otonycteris hemprichii	LC
SY	17314	Pipistrellus kuhlii	LC
SY	136229	Plecotus macrobullaris	LC
SY	19515	Rhinolophus blasii	LC
SY	19516	Rhinolophus euryale	NT
SY	19517	Rhinolophus ferrumequinum	LC
SY	19518	Rhinolophus hipposideros	LC
SY	19519	Rhinolophus mehelyi	VU
SY	82345555	Rhinopoma cystops	LC
SY	82345477	Rhinopoma hardwickii	LC
SY	19600	Rhinopoma microphyllum	LC
SY	29730	Rousettus aegyptiacus	LC
SY	21311	Tadarida teniotis	LC
SY	21462	Taphozous nudiventris	LC
TJ	85181182	Barbastella leucomelas	LC
TJ	7915	Eptesicus bottae	LC
TJ	41531	Eptesicus gobiensis	LC
TJ	14124	Myotis blythii	LC
TJ	136219	Myotis bucharensis	DD
TJ	14129	Myotis emarginatus	LC
TJ	136495	Myotis nipalensis	LC
TJ	85294528	Otonycteris hemprichii	LC
TJ	85295233	Otonycteris leucophaea	DD
TJ	85333758	Pipistrellus aladdin	DD
TJ	19526	Rhinolophus bocharicus	LC
TJ	19517	Rhinolophus ferrumequinum	LC
TJ	19518	Rhinolophus hipposideros	LC
TJ	21311	Tadarida teniotis	LC
TM	85181182	Barbastella leucomelas	LC
TM	7915	Eptesicus bottae	LC
TM	41531	Eptesicus gobiensis	LC
TM	7911	Eptesicus serotinus	LC
TM	44856	Hypsugo savii	LC
TM	14124	Myotis blythii	LC
TM	14129	Myotis emarginatus	LC
TM	14135	Myotis nattereri	LC
TM	136495	Myotis nipalensis	LC
TM	14918	Nyctalus lasiopterus	VU
TM	85294528	Otonycteris hemprichii	LC
TM	85295233	Otonycteris leucophaea	DD
TM	85333758	Pipistrellus aladdin	DD
TM	85535176	Plecotus turkmenicus	LC
TM	19515	Rhinolophus blasii	LC
TM	19526	Rhinolophus bocharicus	LC
TM	19517	Rhinolophus ferrumequinum	LC
TM	19518	Rhinolophus hipposideros	LC
TM	21311	Tadarida teniotis	LC
TM	22947	Vespertilio murinus	LC
AE	7915	Eptesicus bottae	LC
AE	85294528	Otonycteris hemprichii	LC
AE	17314	Pipistrellus kuhlii	LC
AE	29730	Rousettus aegyptiacus	LC
AE	21462	Taphozous nudiventris	LC
AE	81069403	Triaenops persicus	LC
IR	80221529	Asellia tridens	LC
IR	2553	Barbastella barbastellus	NT
IR	85181182	Barbastella leucomelas	LC
IR	7914	Eptesicus bobrinskoi	DD
IR	7915	Eptesicus bottae	LC
IR	7910	Eptesicus nilssonii	LC
IR	85200202	Eptesicus pachyomus	LC
IR	7911	Eptesicus serotinus	LC
IR	17328	Hypsugo arabicus	DD
IR	44856	Hypsugo savii	LC
IR	136553	Myotis aurascens	LC
IR	14123	Myotis bechsteinii	NT
IR	14124	Myotis blythii	LC
IR	14126	Myotis capaccinii	VU
IR	14129	Myotis emarginatus	LC
IR	14135	Myotis nattereri	LC
IR	136495	Myotis nipalensis	LC
IR	14198	Myotis schaubi	DD
IR	14918	Nyctalus lasiopterus	VU
IR	14919	Nyctalus leisleri	LC
IR	14920	Nyctalus noctula	LC
IR	85294528	Otonycteris hemprichii	LC
IR	85295233	Otonycteris leucophaea	DD
IR	85333758	Pipistrellus aladdin	DD
IR	17314	Pipistrellus kuhlii	LC
IR	17317	Pipistrellus pipistrellus	LC
IR	136649	Pipistrellus pygmaeus	LC
IR	17596	Plecotus auritus	LC
IR	136229	Plecotus macrobullaris	LC
IR	19515	Rhinolophus blasii	LC
IR	19526	Rhinolophus bocharicus	LC
IR	19516	Rhinolophus euryale	NT
IR	19517	Rhinolophus ferrumequinum	LC
IR	19518	Rhinolophus hipposideros	LC
IR	19519	Rhinolophus mehelyi	VU
IR	82345477	Rhinopoma hardwickii	LC
IR	19600	Rhinopoma microphyllum	LC
IR	19602	Rhinopoma muscatellum	LC
IR	7935	Rhyneptesicus nasutus	LC
IR	29730	Rousettus aegyptiacus	LC
IR	21312	Tadarida aegyptiaca	LC
IR	21311	Tadarida teniotis	LC
IR	21462	Taphozous nudiventris	LC
IR	21463	Taphozous perforatus	LC
IR	81069403	Triaenops persicus	LC
IR	22947	Vespertilio murinus	LC
IQ	7915	Eptesicus bottae	LC
IQ	7910	Eptesicus nilssonii	LC
IQ	44856	Hypsugo savii	LC
IQ	136553	Myotis aurascens	LC
IQ	14124	Myotis blythii	LC
IQ	14126	Myotis capaccinii	VU
IQ	14135	Myotis nattereri	LC
IQ	14920	Nyctalus noctula	LC
IQ	17314	Pipistrellus kuhlii	LC
IQ	17361	Pipistrellus rueppellii	LC
IQ	19516	Rhinolophus euryale	NT
IQ	19517	Rhinolophus ferrumequinum	LC
