scientific_name	taxonid
Hypsugo alaschanicus	136560
Otomops wroughtoni	15646
Hipposideros boeadii	136566
Cistugo lesueuri	44787
Balionycteris maculata	2538
Carollia benkeithi	88110352
Rhinolophus bocharicus	19526
Chiroderma trinitatum	4667
Aselliscus stoliczkanus	2155
Molossus molossus	13648
Myotis scotti	14199
Neoromicia guineensis	44920
Rhinolophus hildebrandtii	64586080
Scotophilus viridis	20073
Myotis gomantongensis	40035
Chiroderma villosum	4668
Eptesicus pachyotis	7936
Vespadelus troughtoni	7944
Rhogeessa bickhami	88151726
Murina tenebrosa	13948
Dyacopterus spadiceus	6931
Sturnira burtonlimi	88152206
Myonycteris leptodon	84463728
Nyctalus leisleri	14919
Vampyressa melissa	22839
Rhinolophus yunanensis	19576
Mormopterus francoismoutoui	71727235
Dobsonia peronii	6771
Harpiola isodon	136445
Myotis emarginatus	14129
Dermanura anderseni	2122
Rhogeessa menchuae	88151749
Noctilio leporinus	14830
Glauconycteris kenyacola	44796
Kerivoula lanosa	10977
Rhinolophus damarensis	67369846
Myotis elegans	14156
Pipistrellus rusticus	17362
Pipistrellus tenuis	17368
Artibeus obscurus	2137
Histiotus velatus	10203
Hipposideros atrox	80259774
Miniopterus fuscus	13564
Glauconycteris poensis	44798
Anoura peruana	88109497
Pteralopex pulchra	18658
Chaerephon gallagheri	4311
Carollia brevicauda	3903
Miniopterus natalensis	44862
Dobsonia minor	6770
Hipposideros inexpectatus	10139
Uroderma magnirostrum	22783
Emballonura beccarii	7672
Thyroptera lavali	21878
Uroderma bilobatum	22782
Macrophyllum macrophyllum	12615
Lonchorhina aurita	12270
Lasiurus seminolus	11353
Epomophorus angolensis	7901
Myotis tricolor	14207
Dermanura rava	83683265
Murina pluvialis	84548064
Nyctinomops aurispinosus	14993
Eumops auripendulus	8241
Myotis pequinius	14190
Saccopteryx gymnura	19806
Hesperoptenus tomesi	9979
Chalinolobus picatus	4422
Scotomanes ornatus	20058
Vespadelus finlaysoni	7924
Scotozous dormeri	17338
Epomophorus labiatus	84457881
Myotis planiceps	14191
Rhinolophus euryale	19516
Peropteryx pallidoptera	85822291
Chaerephon nigeriae	4315
Rhinolophus alcyone	19523
Rhinolophus tatar	84372447
Mops mops	13842
Myotis australis	14146
Mystacina robusta	14260
Molossus coibensis	102208365
Lonchorhina marinkellei	12272
Pteropus caniceps	18719
Nyctimene minutus	14960
Glossophaga morenoi	9276
Hipposideros alongensis	80224880
Dyacopterus brooksi	136356
Plecotus sardus	136503
Choeroniscus minor	4774
Brachyphylla cavernarum	2982
Pteropus mariannus	18737
Scotophilus dinganii	20066
Pteropus mahaganus	18736
Artibeus inopinatus	2132
Mormopterus jugularis	13882
Cormura brevirostris	41527
Nycticeius humeralis	14944
Chalinolobus morio	4419
Mormopterus minutus	13884
Murina suilla	13947
Platyrrhinus recifinus	17572
Arielulus aureocollaris	40031
Histiotus alienus	10200
Platyrrhinus nitelinea	88160517
