scientific_name	taxonid
Hipposideros crumeniferus	10124
Anoura latidens	1568
Laephotis botswanae	11136
Rhinolophus capensis	19529
Plecotus auritus	17596
Styloctenium wallacei	21100
Rousettus celebensis	19755
Mimon cozumelae	136561
Mimon bennettii	13559
Centurio senex	4133
Natalus tumidirostris	14362
Rhinolophus belligerator	84372084
Chiroderma villosum	4668
Myotis ater	14144
Micronycteris matses	136207
Vespadelus caurinus	7919
Phoniscus jagorii	10976
Lissonycteris angolensis	44698
Pipistrellus imbricatus	17342
Pipistrellus ceylonicus	17332
Cynopterus luzoniensis	136798
Scotorepens balstoni	14942
Hipposideros wollastoni	10166
Kerivoula whiteheadi	10987
Mormopterus norfolkensis	13885
Nyctalus lasiopterus	14918
Barbastella barbastellus	2553
Carollia perspicillata	3905
Myotis bucharensis	136219
Pharotis imogene	16887
Lonchophylla peracchii	88150984
Balionycteris maculata	2538
Phoniscus atrox	10970
Rhinophylla alethina	19591
Nyctophilus nebulosus	136807
Nyctimene rabori	14953
Hipposideros fuliginosus	10134
Kerivoula titania	136817
Mimetillus moloneyi	13556
Lonchophylla dekeyseri	12264
Miniopterus magnater	13566
Hipposideros breviceps	10114
Lophostoma carrikeri	99783878
Chilonatalus micropus	14359
Rhinophylla pumilio	19593
Cheiromeles parvidens	4600
Miniopterus macrocneme	136579
Hypsugo vordermanni	44195
Vespadelus baverstocki	7913
Megaerops ecaudatus	12946
Idionycteris phyllotis	10790
Rhinolophus maendeleo	44783
Rhinolophus arcuatus	19525
Dobsonia emersa	6774
Rhinolophus yunanensis	19576
Nyctophilus gouldi	15004
Pteropus faunulus	18723
Plecotus taivanus	17601
Xeronycteris vieirai	136321
Histiotus alienus	10200
Myotis planiceps	14191
Micronycteris microtis	136424
Chaerephon nigeriae	4315
Mormopterus doriae	13881
Pteropus neohibernicus	18742
Myotis alcathoe	136680
Myotis riparius	14195
Molossops temminckii	13643
Nyctimene cephalotes	14963
Platyrrhinus nigellus	136317
Platyrrhinus ismaeli	136232
Myotis melanorhinus	136784
Nycteris javanica	14932
Chrotopterus auritus	4811
Dermanura anderseni	2122
Molossops mattogrossensis	13640
Stenoderma rufum	20743
Promops centralis	18340
Nycteris woodi	14939
Eptesicus isabellinus	85200107
Pteropus lylei	18734
Erophylla sezekorni	8033
Epomophorus anselli	136351
Chiroderma salvini	4666
Artibeus concolor	2125
Taphozous kapalgensis	21458
Macroglossus sobrinus	12595
Artibeus planirostris	2139
Miniopterus newtoni	136310
Nyctophilus sherrini	15009
Myotis yumanensis	14213
Mystacina tuberculata	14261
Taphozous australis	21452
Nyctalus montanus	14923
Taphozous nudiventris	21462
Micropteropus pusillus	13402
Myotis borneoensis	85568289
Chaerephon solomonis	4320
Pipistrellus pipistrellus	17317
Triaenops parvus	81082829
Macroderma gigas	12590
Chaerephon bregullae	4309
Pteropus giganteus	18725
Plecotus teneriffae	17602
Rhinolophus borneensis	19527
Platyrrhinus angustirostris	88160255
Hipposideros pratti	10155
Brachyphylla cavernarum	2982
Pipistrellus musciculus	44855
Rhinolophus marshalli	19552
Vespadelus pumilus	7938
Murina aurata	13937
Eudiscopus denticulus	8168
Mormopterus cobourgianus	71536513
Lonchorhina orinocensis	12273
Eptesicus chiriquinus	136524
Hipposideros sorenseni	10161
Pteropus fundatus	18724
Myzopoda aurita	14288
Tadarida teniotis	21311
Dermanura watsoni	99586593
Scotophilus marovaza	136774
Lonchophylla robusta	12268
Hypsugo savii	44856
Eptesicus diminutus	7922
Pteropus poliocephalus	18751
Hipposideros turpis	10165
Eptesicus japonensis	136823
Miniopterus majori	40039
Pipistrellus tenuis	17368
Miniopterus gleni	81633094
Vampyriscus nymphaea	22840
Acerodon celebensis	137
Nyctalus furvus	136765
Mormopterus lumsdenae	71531227
Kerivoula agnella	10968
Rhinolophus swinnyi	19572
Murina gracilis	84500832
Scotoecus albofuscus	20054
Paratriaenops furculus	81060220
Pipistrellus inexspectatus	17343
Molossus molossus	13648
Harpyionycteris celebensis	136776
Casinycteris argynnis	3999
Pipistrellus permixtus	17358
Pteropus brunneus	18718
Hipposideros pelingensis	136600
Rhinolophus creaghi	19535
Rhinolophus smithersi	64588371
Rhinolophus trifoliatus	19574
Rhinolophus inops	19545
Falsistrellus affinis	17324
Pteropus mariannus	18737
Barbastella leucomelas	85181182
Chaerephon atsinanana	67360705
Dobsonia viridis	6780
Chiroderma doriae	4664
Rhinolophus canuti	19528
Bauerus dubiaquercus	1789
Coleura kibomalandy	80221085
Platyrrhinus fusciventris	88160339
Vampyrodes caraccioli	88151904
Peropteryx trinitatis	136790
Hipposideros macrobullatus	10146
Monophyllus redmani	13720
Myotis peninsularis	14189
Rhinolophus tatar	84372447
Neoromicia tenuipinnis	44926
Sturnira lilium	88159688
Myotis aelleni	14139
Rhogeessa menchuae	88151749
Lasiurus minor	136627
Sturnira tildae	20960
Pteralopex pulchra	18658
Dyacopterus spadiceus	6931
Hipposideros megalotis	10150
Hipposideros pygmaeus	10156
Sturnira ludovici	88159722
Myotis vivesi	14209
Nycteris thebaica	14936
Glossophaga leachii	9274
Eptesicus furinalis	7927
Glauconycteris humeralis	44795
Pipistrellus eisentrauti	44854
Pteropus gilliardorum	18726
Hipposideros obscurus	10153
Molossus currentium	88087340
Hipposideros inexpectatus	10139
Tadarida lobata	21317
Anoura caudifer	88108473
Hypsugo kitcheneri	17346
Pteronotus parnellii	88017638
Platyrrhinus aquilus	88160364
Myotis sodalis	14136
Hipposideros scutinares	136586
Harpiola isodon	136445
Nyctalus leisleri	14919
Mormoops megalophylla	13878
Dermanura cinerea	2124
Hipposideros inornatus	136739
Rhogeessa mira	19683
Eptesicus nilssonii	7910
Sturnira mistratensis	136591
Paratriaenops auritus	40025
Rhinolophus sakejiensis	44785
Mormopterus francoismoutoui	71727235
Myotis moluccarum	136770
Thyroptera tricolor	21879
Plerotes anchietae	17618
Chilonatalus tumidifrons	14361
Rhinolophus hipposideros	19518
Myotis macrotarsus	14178
Rhinolophus alcyone	19523
Saccolaimus mixtus	19800
Cormura brevirostris	41527
Neonycteris pusilla	13382
Pipistrellus rusticus	17362
Miniopterus petersoni	136788
Nycteris arge	14926
Pteropus pilosus	18749
Glauconycteris superba	44799
Hipposideros edwardshilli	10133
Plecotus austriacus	17597
Miniopterus manavi	81629742
Thyroptera lavali	21878
Rousettus spinalatus	19751
Plecotus macrobullaris	136229
Scotoecus pallidus	20056
Eonycteris spelaea	7787
Mormopterus acetabulosus	71733227
Pipistrellus endoi	17340
Myotis punicus	44864
Chaerephon johorensis	4313
Pipistrellus arabicus	17328
Platyrrhinus masu	136577
Myotis emarginatus	14129
Taphozous georgianus	21454
Eumops dabbenei	8243
Anoura cadenai	88109476
Chiroderma trinitatum	4667
Vampyressa pusilla	22841
Phyllops falcatus	17176
Lophostoma kalkoae	88149216
Pteropus keyensis	136528
Harpyionycteris whiteheadi	9740
Platyrrhinus infuscus	17571
Asellia patrizii	2153
Eidolon helvum	7084
Sturnira oporaphilum	136494
Rhinolophus landeri	19546
Myotis bocagii	14148
Myotis velifer	14208
Rhinolophus luctus	19548
Rhinolophus philippinensis	19560
Epomophorus angolensis	7901
Nyctophilus heran	15005
Mosia nigrescens	13904
Rhogeessa alleni	19679
Taphozous achates	21453
Myotis goudoti	14163
Sturnira perla	88159664
Chalinolobus morio	4419
Myotis federatus	85568302
Hipposideros vittatus	135485
Eptesicus hottentotus	7931
Mimon crenulatum	13560
Austronomus australis	21313
Eptesicus serotinus	7911
Emballonura serii	41528
