scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Acerodon celebensis	137	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Sulawesi Fruit Bat	Peters, 1867	2016	VU	A2d	False	False	True			1500	0			Tsang, S.M. & Sheherazade	Mildenstein, T.				
Acerodon humilis	138	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Talaud Fruit Bat	K. Andersen, 1909	2016	EN	B1ab(iii,v)	False	False	True		1577					Mildenstein, T.	Battistoni, A.	True	This errata assessment has been created because the map was accidentally left out of the version published previously.		
Acerodon jubatus	139	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Golden-capped Fruit Bat	(Eschscholtz, 1831)	2016	EN	A2cd	False	False	True			1100	0			Mildenstein, T. & Paguntalan, L.	Battistoni, A.				
Acerodon leucotis	140	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Palawan Fruit Bat	(Sanborn, 1950)	2008	VU	A4cd	False	False	True				0			Ong, P., Rosell-Ambal, G. & Tabaranza, B., Esselstyn, J., Widmann, P., Heaney, L. & Cariño, A.B.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Stuart, S.N. (Global Mammal Assessment Team)				
Acerodon mackloti	142	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Acerodon	Sunda Fruit Bat	(Temminck, 1837)	2016	VU	A3cd	False	False	True			450	0			Mildenstein, T. 	Battistoni, A.				
Aethalops aequalis	136541	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aethalops	Borneo Fruit Bat	G.M. Allen, 1938	2016	LC		False	False	True				550			Jayaraj, J.V.K., Struebig, M. & Tingga, R.C.T.	Mildenstein, T.				
Aethalops alecto	565	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aethalops	Pygmy Fruit Bat	(Thomas, 1923)	2016	LC		False	False	True			2700	1000			Jayaraj, V.K., Tingga, R.C.T. & Struebig, M.	Mildenstein, T.				
Alionycteris paucidentata	843	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Alionycteris	Mindanao Pygmy Fruit Bat	Kock, 1969	2016	LC		False	False	True			2250	1500			Mildenstein, T.	Battistoni, A.				
Ametrida centurio	1137	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Ametrida	Little White-shouldered Bat	Gray, 1847	2016	LC		False	False	True			2100				Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.	Solari, S.	True	This errata assessment has been created because the map was accidentally left out of the version published previously.		
Amorphochilus schnablii	1154	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	FURIPTERIDAE	Amorphochilus	Smoky Bat	Peters, 1877	2015	VU	A2c	False	False	True			2000	50			Velazco, P., Huamani, L. & Cadenillas, R.	Solari, S.				
Anoura cadenai	88109476	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Anoura		Mantilla-Meluk &amp; Baker, 2006	2017	DD		False	False	True			1600	800			Solari, S.	Battistoni, A.				
Anoura caudifer	88108473	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	Tailed Tailless Bat	(É. Geoffroy Saint-Hilaire, 1818)	2016	LC		False	False	True			2880	200			Solari, S.	Battistoni, A.				
Anoura cultrata	1566	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	Handley's Tailless Bat	Handley, 1960	2016	LC		False	False	True			2600	50			Molinari, J. & Mantilla-Meluk, H.	Solari, S.				
